seed,round,honest_r_eff,attacker_r_eff
47,95,0.779292,0.01
47,96,0.782823,0.01
47,97,0.786298,0.01
47,98,0.746983,0.01
47,99,0.751031,0.01
47,100,0.755015,0.01
48,1,0.475,0.25
48,2,0.48172,0.125
48,3,0.488836,0.0625
48,4,0.496192,0.03125
48,5,0.503677,0.015625
48,6,0.511214,0.01
48,7,0.518753,0.01
48,8,0.526255,0.01
48,9,0.533696,0.01
48,10,0.54106,0.01
48,11,0.548336,0.01
48,12,0.555515,0.01
48,13,0.562593,0.01
48,14,0.569569,0.01
48,15,0.576439,0.01
48,16,0.583205,0.01
48,17,0.589866,0.01
48,18,0.560372,0.01
48,19,0.567401,0.01
48,20,0.574318,0.01
48,21,0.581127,0.01
48,22,0.587827,0.01
48,23,0.59442,0.01
48,24,0.600908,0.01
48,25,0.607293,0.01
48,26,0.613576,0.01
48,27,0.582897,0.01
48,28,0.589571,0.01
48,29,0.596137,0.01
48,30,0.602599,0.01
48,31,0.608957,0.01
48,32,0.615214,0.01
48,33,0.62137,0.01
48,34,0.627428,0.01
48,35,0.63339,0.01
48,36,0.639255,0.01
48,37,0.645027,0.01
48,38,0.650707,0.01
48,39,0.656295,0.01
48,40,0.623481,0.01
48,41,0.629505,0.01
48,42,0.635433,0.01
48,43,0.641266,0.01
48,44,0.647006,0.01
48,45,0.652654,0.01
48,46,0.620021,0.01
48,47,0.626101,0.01
48,48,0.632083,0.01
48,49,0.63797,0.01
48,50,0.643762,0.01
48,51,0.649462,0.01
48,52,0.655071,0.01
48,53,0.660589,0.01
48,54,0.62756,0.01
48,55,0.633519,0.01
48,56,0.639383,0.01
48,57,0.645153,0.01
48,58,0.65083,0.01
48,59,0.656417,0.01
48,60,0.661914,0.01
48,61,0.667324,0.01
48,62,0.672646,0.01
48,63,0.677884,0.01
48,64,0.683038,0.01
48,65,0.688109,0.01
48,66,0.6931,0.01
48,67,0.69801,0.01
48,68,0.702842,0.01
48,69,0.707596,0.01
48,70,0.712275,0.01
48,71,0.716878,0.01
48,72,0.721408,0.01
48,73,0.725866,0.01
48,74,0.730252,0.01
48,75,0.734568,0.01
48,76,0.738815,0.01
48,77,0.742994,0.01
48,78,0.747106,0.01
48,79,0.751152,0.01
48,80,0.755134,0.01
48,81,0.759052,0.01
48,82,0.762907,0.01
48,83,0.7667,0.01
48,84,0.770433,0.01
48,85,0.774106,0.01
48,86,0.77772,0.01
48,87,0.781277,0.01
48,88,0.784776,0.01
48,89,0.78822,0.01
48,90,0.791609,0.01
48,91,0.794943,0.01
48,92,0.798224,0.01
48,93,0.801452,0.01
48,94,0.804629,0.01
48,95,0.807755,0.01
48,96,0.810831,0.01
48,97,0.813857,0.01
48,98,0.816836,0.01
48,99,0.775994,0.01
48,100,0.779578,0.01
49,1,0.50632,0.25
49,2,0.513043,0.125
49,3,0.520011,0.0625
49,4,0.527115,0.03125
49,5,0.534277,0.015625
49,6,0.541447,0.01
49,7,0.548586,0.01
49,8,0.55567,0.01
49,9,0.562682,0.01
49,10,0.569612,0.01
49,11,0.576451,0.01
49,12,0.583194,0.01
49,13,0.58984,0.01
49,14,0.596386,0.01
49,15,0.602832,0.01
49,16,0.609179,0.01
49,17,0.615427,0.01
49,18,0.621576,0.01
49,19,0.627628,0.01
49,20,0.633584,0.01
49,21,0.639445,0.01
49,22,0.645213,0.01
49,23,0.650889,0.01
49,24,0.656475,0.01
49,25,0.661971,0.01
49,26,0.667379,0.01
49,27,0.672701,0.01
49,28,0.677937,0.01
49,29,0.68309,0.01
49,30,0.648936,0.01
49,31,0.654553,0.01
49,32,0.66008,0.01
49,33,0.665519,0.01
49,34,0.67087,0.01
49,35,0.676136,0.01
49,36,0.681318,0.01
49,37,0.686417,0.01
49,38,0.691434,0.01
49,39,0.696371,0.01
49,40,0.701229,0.01
49,41,0.70601,0.01
49,42,0.710714,0.01
49,43,0.715342,0.01
49,44,0.719897,0.01
49,45,0.724378,0.01
49,46,0.728788,0.01
49,47,0.733128,0.01
49,48,0.737398,0.01
49,49,0.741599,0.01
49,50,0.745734,0.01
49,51,0.749802,0.01
49,52,0.753805,0.01
49,53,0.757744,0.01
49,54,0.76162,0.01
49,55,0.765434,0.01
49,56,0.769187,0.01
49,57,0.77288,0.01
49,58,0.776514,0.01
49,59,0.78009,0.01
49,60,0.783609,0.01
49,61,0.787071,0.01
49,62,0.790478,0.01
49,63,0.79383,0.01
49,64,0.797129,0.01
49,65,0.800375,0.01
49,66,0.803569,0.01
49,67,0.806712,0.01
49,68,0.809804,0.01
49,69,0.812847,0.01
49,70,0.815842,0.01
49,71,0.818788,0.01
49,72,0.821688,0.01
49,73,0.824541,0.01
49,74,0.827348,0.01
49,75,0.830111,0.01
49,76,0.832829,0.01
49,77,0.835504,0.01
49,78,0.838136,0.01
49,79,0.840725,0.01
49,80,0.843274,0.01
49,81,0.845781,0.01
49,82,0.848249,0.01
49,83,0.850677,0.01
49,84,0.853066,0.01
49,85,0.855417,0.01
49,86,0.812646,0.01
49,87,0.815644,0.01
49,88,0.818594,0.01
49,89,0.777664,0.01
49,90,0.781221,0.01
49,91,0.784722,0.01
49,92,0.788166,0.01
49,93,0.791555,0.01
49,94,0.794891,0.01
49,95,0.798172,0.01
49,96,0.801402,0.01
49,97,0.804579,0.01
49,98,0.807706,0.01
49,99,0.810783,0.01
49,100,0.81381,0.01
50,1,0.50632,0.25
50,2,0.513043,0.125
50,3,0.520011,0.0625
50,4,0.527115,0.03125
50,5,0.534277,0.015625
50,6,0.541447,0.01
50,7,0.548586,0.01
50,8,0.55567,0.01
50,9,0.562682,0.01
50,10,0.569612,0.01
50,11,0.576451,0.01
50,12,0.583194,0.01
50,13,0.58984,0.01
50,14,0.596386,0.01
50,15,0.602832,0.01
50,16,0.609179,0.01
50,17,0.615427,0.01
50,18,0.621576,0.01
50,19,0.627628,0.01
50,20,0.633584,0.01
50,21,0.639445,0.01
50,22,0.645213,0.01
50,23,0.650889,0.01
50,24,0.656475,0.01
50,25,0.661971,0.01
50,26,0.667379,0.01
50,27,0.672701,0.01
50,28,0.677937,0.01
50,29,0.68309,0.01
50,30,0.688161,0.01
50,31,0.69315,0.01
50,32,0.69806,0.01
50,33,0.702891,0.01
50,34,0.707644,0.01
50,35,0.712322,0.01
50,36,0.716925,0.01
50,37,0.721454,0.01
50,38,0.725911,0.01
50,39,0.730296,0.01
50,40,0.693782,0.01
50,41,0.659092,0.01
50,42,0.664547,0.01
50,43,0.669914,0.01
50,44,0.675196,0.01
50,45,0.680392,0.01
50,46,0.685506,0.01
50,47,0.690538,0.01
50,48,0.695489,0.01
50,49,0.700362,0.01
50,50,0.705156,0.01
50,51,0.669898,0.01
50,52,0.67518,0.01
50,53,0.680377,0.01
50,54,0.685491,0.01
50,55,0.690523,0.01
50,56,0.695475,0.01
50,57,0.700347,0.01
50,58,0.705141,0.01
50,59,0.709859,0.01
50,60,0.714501,0.01
50,61,0.719069,0.01
50,62,0.723564,0.01
50,63,0.727987,0.01
50,64,0.732339,0.01
50,65,0.736622,0.01
50,66,0.740836,0.01
50,67,0.744983,0.01
50,68,0.749063,0.01
50,69,0.753078,0.01
50,70,0.757029,0.01
50,71,0.760916,0.01
50,72,0.764742,0.01
50,73,0.768506,0.01
50,74,0.77221,0.01
50,75,0.775854,0.01
50,76,0.779441,0.01
50,77,0.78297,0.01
50,78,0.786442,0.01
50,79,0.74712,0.01
50,80,0.751166,0.01
50,81,0.755147,0.01
50,82,0.759065,0.01
50,83,0.76292,0.01
50,84,0.766713,0.01
50,85,0.770446,0.01
50,86,0.774119,0.01
50,87,0.777733,0.01
50,88,0.738846,0.01
50,89,0.743025,0.01
50,90,0.747136,0.01
50,91,0.751182,0.01
50,92,0.755163,0.01
50,93,0.759081,0.01
50,94,0.762935,0.01
50,95,0.766728,0.01
50,96,0.770461,0.01
50,97,0.774133,0.01
50,98,0.777747,0.01
50,99,0.781303,0.01
50,100,0.784802,0.01
51,1,0.50632,0.475
51,2,0.513043,0.2375
51,3,0.520011,0.11875
51,4,0.527115,0.059375
51,5,0.534277,0.029688
51,6,0.541447,0.01
51,7,0.548586,0.01
51,8,0.55567,0.01
51,9,0.562682,0.01
51,10,0.569612,0.01
51,11,0.576451,0.01
51,12,0.583194,0.01
51,13,0.58984,0.01
51,14,0.596386,0.01
51,15,0.602832,0.01
51,16,0.609179,0.01
51,17,0.615427,0.01
51,18,0.621576,0.01
51,19,0.590497,0.01
51,20,0.597046,0.01
51,21,0.603492,0.01
51,22,0.609835,0.01
51,23,0.616076,0.01
51,24,0.622218,0.01
51,25,0.628262,0.01
51,26,0.63421,0.01
51,27,0.640062,0.01
51,28,0.645821,0.01
51,29,0.651488,0.01
51,30,0.657064,0.01
51,31,0.662551,0.01
51,32,0.629423,0.01
51,33,0.635353,0.01
51,34,0.641187,0.01
51,35,0.646928,0.01
51,36,0.652577,0.01
51,37,0.658136,0.01
51,38,0.663606,0.01
51,39,0.668988,0.01
51,40,0.674284,0.01
51,41,0.679496,0.01
51,42,0.684624,0.01
51,43,0.650393,0.01
51,44,0.617873,0.01
51,45,0.623987,0.01
51,46,0.630003,0.01
51,47,0.635923,0.01
51,48,0.641748,0.01
51,49,0.64748,0.01
51,50,0.653121,0.01
51,51,0.658671,0.01
51,52,0.664132,0.01
51,53,0.669506,0.01
51,54,0.636031,0.01
51,55,0.641854,0.01
51,56,0.647584,0.01
51,57,0.653223,0.01
51,58,0.658772,0.01
51,59,0.664231,0.01
51,60,0.669603,0.01
51,61,0.67489,0.01
51,62,0.680092,0.01
51,63,0.68521,0.01
51,64,0.65095,0.01
51,65,0.656534,0.01
51,66,0.66203,0.01
51,67,0.667437,0.01
51,68,0.672758,0.01
51,69,0.677994,0.01
51,70,0.683146,0.01
51,71,0.688216,0.01
51,72,0.693205,0.01
51,73,0.698113,0.01
51,74,0.702943,0.01
51,75,0.707696,0.01
51,76,0.712373,0.01
51,77,0.716975,0.01
51,78,0.721504,0.01
51,79,0.72596,0.01
51,80,0.730344,0.01
51,81,0.734659,0.01
51,82,0.738904,0.01
51,83,0.743082,0.01
51,84,0.747192,0.01
51,85,0.751237,0.01
51,86,0.755218,0.01
51,87,0.759134,0.01
51,88,0.721177,0.01
51,89,0.725639,0.01
51,90,0.730028,0.01
51,91,0.734348,0.01
51,92,0.738598,0.01
51,93,0.742781,0.01
51,94,0.746896,0.01
51,95,0.750946,0.01
51,96,0.754931,0.01
51,97,0.758852,0.01
51,98,0.76271,0.01
51,99,0.766507,0.01
51,100,0.770243,0.01
52,1,0.50632,0.475
52,2,0.513043,0.2375
52,3,0.520011,0.11875
52,4,0.527115,0.059375
52,5,0.534277,0.029688
52,6,0.541447,0.01
52,7,0.548586,0.01
52,8,0.55567,0.01
52,9,0.562682,0.01
52,10,0.569612,0.01
52,11,0.576451,0.01
52,12,0.583194,0.01
52,13,0.58984,0.01
52,14,0.596386,0.01
52,15,0.602832,0.01
52,16,0.609179,0.01
52,17,0.615427,0.01
52,18,0.621576,0.01
52,19,0.627628,0.01
52,20,0.633584,0.01
52,21,0.639445,0.01
52,22,0.645213,0.01
52,23,0.650889,0.01
52,24,0.656475,0.01
52,25,0.661971,0.01
52,26,0.667379,0.01
52,27,0.672701,0.01
52,28,0.677937,0.01
52,29,0.68309,0.01
52,30,0.688161,0.01
52,31,0.69315,0.01
52,32,0.69806,0.01
52,33,0.702891,0.01
52,34,0.707644,0.01
52,35,0.712322,0.01
52,36,0.716925,0.01
52,37,0.721454,0.01
52,38,0.725911,0.01
52,39,0.730296,0.01
52,40,0.734612,0.01
52,41,0.738858,0.01
52,42,0.743036,0.01
52,43,0.747148,0.01
52,44,0.751193,0.01
52,45,0.755174,0.01
52,46,0.759091,0.01
52,47,0.762946,0.01
52,48,0.766739,0.01
52,49,0.770471,0.01
52,50,0.774143,0.01
52,51,0.777757,0.01
52,52,0.781313,0.01
52,53,0.742247,0.01
52,54,0.746371,0.01
52,55,0.750429,0.01
52,56,0.754423,0.01
52,57,0.758352,0.01
52,58,0.762218,0.01
52,59,0.766023,0.01
52,60,0.769766,0.01
52,61,0.77345,0.01
52,62,0.777075,0.01
52,63,0.780642,0.01
52,64,0.784151,0.01
52,65,0.787605,0.01
52,66,0.791003,0.01
52,67,0.751453,0.01
