seed,round,honest_r_can,attacker_r_can,attacker_r_old
102,28,0.643678,0.018913,0.689978
102,29,0.649379,0.019096,0.703661
102,30,0.654988,0.01,0.67493
102,31,0.660509,0.01,0.685755
102,32,0.66594,0.01,0.69785
102,33,0.671285,0.01,0.710519
102,34,0.676545,0.01,0.7233
102,35,0.68172,0.01,0.693305
102,36,0.686813,0.01,0.703112
102,37,0.691823,0.01,0.714182
102,38,0.696754,0.01,0.725843
102,39,0.701606,0.01,0.737648
102,40,0.706381,0.01,0.706456
102,41,0.711078,0.01,0.715393
102,42,0.715701,0.01,0.725641
102,43,0.72025,0.01,0.736528
102,44,0.724726,0.01,0.747606
102,45,0.72913,0.01,0.71554
102,46,0.733464,0.01,0.723854
102,47,0.737729,0.01,0.733519
102,48,0.741925,0.01,0.743863
102,49,0.746054,0.01,0.754434
102,50,0.750118,0.01,0.721761
102,51,0.754116,0.01,0.729645
102,52,0.75805,0.01,0.738909
102,53,0.761921,0.01,0.74888
102,54,0.76573,0.01,0.759103
102,55,0.769479,0.01,0.726014
102,56,0.773167,0.01,0.733603
102,57,0.776796,0.01,0.742592
102,58,0.780367,0.01,0.752308
102,59,0.783882,0.01,0.762293
102,60,0.78734,0.01,0.72892
102,61,0.790742,0.01,0.736307
102,62,0.79409,0.01,0.745109
102,63,0.797385,0.01,0.754649
102,64,0.800627,0.01,0.764473
102,65,0.803817,0.01,0.730904
102,66,0.806956,0.01,0.738154
102,67,0.810044,0.01,0.746828
102,68,0.813084,0.01,0.756249
102,69,0.816074,0.01,0.765961
102,70,0.77527,0.01,0.73226
102,71,0.778866,0.01,0.739415
102,72,0.782404,0.01,0.748002
102,73,0.785886,0.01,0.757342
102,74,0.789312,0.01,0.766978
102,75,0.792683,0.01,0.733186
102,76,0.753049,0.01,0.695898
102,77,0.757,0.01,0.702159
102,78,0.760888,0.01,0.710938
102,79,0.764714,0.01,0.721175
102,80,0.768478,0.01,0.689024
102,81,0.772182,0.01,0.697896
102,82,0.775828,0.01,0.708466
102,83,0.779414,0.01,0.71992
102,84,0.782944,0.01,0.731714
102,85,0.786417,0.01,0.700657
102,86,0.789834,0.01,0.709789
102,87,0.793197,0.01,0.720281
102,88,0.796505,0.01,0.731439
102,89,0.799761,0.01,0.742799
102,90,0.802965,0.01,0.711095
102,91,0.806118,0.01,0.719683
102,92,0.80922,0.01,0.729613
102,93,0.812272,0.01,0.740211
102,94,0.815276,0.01,0.751024
102,95,0.818232,0.01,0.718644
102,96,0.82114,0.01,0.726738
102,97,0.824002,0.01,0.7362
102,98,0.826818,0.01,0.746356
102,99,0.829589,0.01,0.756753
102,100,0.832315,0.01,0.723871
102,101,0.834998,0.01,0.731607
102,102,0.837638,0.01,0.740735
102,103,0.840236,0.01,0.750579
102,104,0.842792,0.01,0.760684
102,105,0.845307,0.01,0.727453
102,106,0.847783,0.01,0.734942
102,107,0.850218,0.01,0.743839
102,108,0.852614,0.01,0.753467
102,109,0.809984,0.01,0.719999
102,110,0.813024,0.01,0.68327
102,111,0.816016,0.01,0.690083
102,112,0.818959,0.01,0.699473
102,113,0.821856,0.01,0.710347
102,114,0.824706,0.01,0.721962
102,115,0.827511,0.01,0.690987
102,116,0.830271,0.01,0.700378
102,117,0.832987,0.01,0.711233
102,118,0.835659,0.01,0.722817
102,119,0.838288,0.01,0.734633
102,120,0.796374,0.01,0.703526
102,121,0.799632,0.01,0.712569
102,122,0.802838,0.01,0.722945
102,123,0.805992,0.01,0.733972
102,124,0.809096,0.01,0.745194
102,125,0.812151,0.01,0.713311
102,126,0.815156,0.01,0.721764
102,127,0.818114,0.01,0.731563
102,128,0.821024,0.01,0.742035
102,129,0.823888,0.01,0.752727
102,130,0.826706,0.01,0.720201
102,131,0.829478,0.01,0.72819
102,132,0.832207,0.01,0.737554
102,133,0.834891,0.01,0.747617
102,134,0.837533,0.01,0.757927
102,135,0.840133,0.01,0.724942
102,136,0.84269,0.01,0.732605
102,137,0.845207,0.01,0.741663
102,138,0.847684,0.01,0.751443
102,139,0.850121,0.01,0.761488
102,140,0.852519,0.01,0.728186
102,141,0.854879,0.01,0.735624
102,142,0.857201,0.01,0.744473
102,143,0.859486,0.01,0.754058
102,144,0.861734,0.01,0.763922
102,145,0.863946,0.01,0.730403
102,146,0.866123,0.01,0.737687
102,147,0.868265,0.01,0.746394
102,148,0.870373,0.01,0.755845
102,149,0.872447,0.01,0.765585
102,150,0.874488,0.01,0.731918
102,151,0.876496,0.01,0.739097
102,152,0.878472,0.01,0.747705
102,153,0.880416,0.01,0.757066
102,154,0.88233,0.01,0.766721
102,155,0.884212,0.01,0.732953
102,156,0.886065,0.01,0.74006
102,157,0.887888,0.01,0.748601
102,158,0.889682,0.01,0.7579
102,159,0.891447,0.01,0.767497
102,160,0.893184,0.01,0.733659
102,161,0.894893,0.01,0.740717
102,162,0.896574,0.01,0.749213
102,163,0.898229,0.01,0.758469
102,164,0.899858,0.01,0.768027
102,165,0.90146,0.01,0.734142
102,166,0.903037,0.01,0.741167
102,167,0.904588,0.01,0.749631
102,168,0.906115,0.01,0.758858
102,169,0.860809,0.01,0.724909
102,170,0.863036,0.01,0.687742
102,171,0.865227,0.01,0.694245
102,172,0.867384,0.01,0.703346
102,173,0.869506,0.01,0.713952
102,174,0.871593,0.01,0.725316
102,175,0.873648,0.01,0.694042
102,176,0.87567,0.01,0.703221
102,177,0.877659,0.01,0.713879
102,178,0.879616,0.01,0.725279
102,179,0.881542,0.01,0.736925
102,180,0.883438,0.01,0.705612
102,181,0.885303,0.01,0.714511
102,182,0.887138,0.01,0.724752
102,183,0.888944,0.01,0.735653
102,184,0.890721,0.01,0.746759
102,185,0.892469,0.01,0.714737
102,186,0.89419,0.01,0.72309
102,187,0.895883,0.01,0.732797
102,188,0.897548,0.01,0.743184
102,189,0.899188,0.01,0.753796
102,190,0.900801,0.01,0.721175
102,191,0.902388,0.01,0.729096
102,192,0.90395,0.01,0.738397
102,193,0.905486,0.01,0.748402
102,194,0.906999,0.01,0.758658
102,195,0.908487,0.01,0.725607
102,196,0.909951,0.01,0.733224
102,197,0.911392,0.01,0.742239
102,198,0.912809,0.01,0.751979
102,199,0.914204,0.01,0.761987
102,200,0.915577,0.01,0.728641
103,1,0.50632,0.50632,0.52079
103,2,0.513043,0.513043,0.54281
103,3,0.520011,0.520011,0.565173
103,4,0.527115,0.527115,0.587294
103,5,0.534277,0.263557,0.568735
103,6,0.541447,0.266695,0.586821
103,7,0.548586,0.269976,0.605706
103,8,0.55567,0.273341,0.624716
103,9,0.562682,0.276746,0.643414
103,10,0.569612,0.138373,0.62051
103,11,0.576451,0.139853,0.635351
103,12,0.583194,0.141401,0.65111
103,13,0.58984,0.142988,0.66714
103,14,0.596386,0.144595,0.683012
103,15,0.602832,0.072298,0.656688
103,16,0.572691,0.068683,0.626208
103,17,0.57952,0.069432,0.637296
103,18,0.586242,0.070215,0.650571
103,19,0.592858,0.071017,0.664994
103,20,0.59937,0.035509,0.63785
103,21,0.605778,0.035859,0.650272
103,22,0.612084,0.036229,0.664145
103,23,0.61829,0.036609,0.678675
103,24,0.624396,0.036996,0.69333
103,25,0.630406,0.018498,0.665696
103,26,0.636319,0.018664,0.677255
103,27,0.642138,0.018838,0.690004
103,28,0.647863,0.019018,0.703263
103,29,0.653497,0.0192,0.716578
103,30,0.659041,0.01,0.687213
103,31,0.664497,0.01,0.697458
103,32,0.669865,0.01,0.708931
103,33,0.675147,0.01,0.720964
103,34,0.680344,0.01,0.733113
103,35,0.685459,0.01,0.70233
103,36,0.690491,0.01,0.711557
103,37,0.695444,0.01,0.722072
103,38,0.700316,0.01,0.733209
103,39,0.705111,0.01,0.744518
103,40,0.669856,0.01,0.712728
103,41,0.675138,0.01,0.721237
103,42,0.680336,0.01,0.731084
103,43,0.685451,0.01,0.741598
103,44,0.690483,0.01,0.752327
103,45,0.695436,0.01,0.719841
103,46,0.700309,0.01,0.727858
103,47,0.705104,0.01,0.737247
103,48,0.709822,0.01,0.747333
103,49,0.714465,0.01,0.757664
103,50,0.719033,0.01,0.724703
103,51,0.723529,0.01,0.732382
103,52,0.727952,0.01,0.741457
103,53,0.732305,0.01,0.751251
103,54,0.736588,0.01,0.76131
103,55,0.740803,0.01,0.728024
103,56,0.74495,0.01,0.735473
103,57,0.749031,0.01,0.744333
103,58,0.753046,0.01,0.753928
103,59,0.756998,0.01,0.763801
103,60,0.760886,0.01,0.730293
103,61,0.764711,0.01,0.737584
103,62,0.768476,0.01,0.746298
103,63,0.77218,0.01,0.755756
103,64,0.733571,0.01,0.722084
103,65,0.737834,0.01,0.685169
103,66,0.742029,0.01,0.69185
103,67,0.746157,0.01,0.701118
103,68,0.750218,0.01,0.711878
103,69,0.712707,0.01,0.680408
103,70,0.677072,0.01,0.646012
103,71,0.682239,0.01,0.654782
103,72,0.687323,0.01,0.666182
103,73,0.692326,0.01,0.679058
103,74,0.697248,0.01,0.692628
103,75,0.662386,0.01,0.664069
103,76,0.667788,0.01,0.675222
103,77,0.673103,0.01,0.687749
103,78,0.678334,0.01,0.700911
103,79,0.68348,0.01,0.714211
103,80,0.688545,0.01,0.684891
103,81,0.693528,0.01,0.69521
103,82,0.698431,0.01,0.706778
103,83,0.703256,0.01,0.718919
103,84,0.708004,0.01,0.731179
103,85,0.712676,0.01,0.700541
103,86,0.717273,0.01,0.709877
103,87,0.721797,0.01,0.720499
103,88,0.685707,0.01,0.688698
103,89,0.690736,0.01,0.697745
103,90,0.695684,0.01,0.665133
103,91,0.700553,0.01,0.674324
103,92,0.705344,0.01,0.685591
103,93,0.710059,0.01,0.697977
103,94,0.714698,0.01,0.710834
103,95,0.719263,0.01,0.681211
103,96,0.723755,0.01,0.691468
103,97,0.728174,0.01,0.703073
103,98,0.732524,0.01,0.715315
103,99,0.736803,0.01,0.727717
103,100,0.741014,0.01,0.697286
103,101,0.745158,0.01,0.706794
103,102,0.749236,0.01,0.717593
103,103,0.753248,0.01,0.729007
103,104,0.757196,0.01,0.740584
103,105,0.761081,0.01,0.709123
103,106,0.764904,0.01,0.717872
103,107,0.768665,0.01,0.727944
103,108,0.772366,0.01,0.73867
103,109,0.776009,0.01,0.749598
103,110,0.779592,0.01,0.717353
103,111,0.783119,0.01,0.72554
103,112,0.786589,0.01,0.735088
103,113,0.790004,0.01,0.745323
103,114,0.793364,0.01,0.755793
103,115,0.79667,0.01,0.722998
103,116,0.799923,0.01,0.730796
103,117,0.803124,0.01,0.73998
103,118,0.806274,0.01,0.749877
103,119,0.809374,0.01,0.760031
103,120,0.812424,0.01,0.726859
103,121,0.815425,0.01,0.734389
103,122,0.818378,0.01,0.743324
103,123,0.821284,0.01,0.752989
103,124,0.824144,0.01,0.762927
103,125,0.826957,0.01,0.729497
